stt,customer_id,TotalSpent,Frequency,LastPurchaseDate,Recency,Customer_Labels
,KH46251,2680,4,2022-05-23,479,Lapsed Customers
,KH13593,2560,5,2023-04-15,153,Regular Customers
,KH28805,2522,6,2023-09-13,2,Regular Customers
,KH28961,3217,5,2023-06-18,88,Regular Customers
,KH12163,6463,9,2023-07-08,68,VIP Customers
,KH28248,3993,7,2023-09-12,2,VIP Customers
,KH6761,3186,4,2021-11-29,654,Lapsed Customers
,KH17018,4113,7,2023-06-27,80,VIP Customers
,KH11462,5411,6,2023-02-27,199,VIP Customers
,KH43388,8101,8,2023-07-07,69,VIP Customers
,KH39199,2785,5,2023-03-18,181,Regular Customers
,KH3843,3763,5,2022-02-12,579,Lapsed Customers
,KH49593,5982,12,2022-12-19,269,VIP Customers
,KH34772,4559,8,2022-11-30,288,VIP Customers
,KH47326,7683,6,2023-06-23,83,VIP Customers
,KH24270,2542,5,2023-06-19,87,Regular Customers
,KH25638,3404,5,2023-02-02,225,Regular Customers
,KH44610,3077,6,2023-05-08,130,Regular Customers
,KH42239,2085,6,2023-02-15,211,Regular Customers
,KH36664,10606,9,2023-07-19,58,VIP Customers
,KH23703,4098,4,2022-07-07,435,Regular Customers
,KH6089,7073,10,2023-05-23,114,VIP Customers
,KH34085,3285,5,2022-11-27,291,Regular Customers
,KH43154,2246,5,2022-12-07,281,Regular Customers
,KH24260,14584,12,2022-09-21,359,VIP Customers
,KH15269,8307,7,2023-08-23,22,VIP Customers
,KH5241,2778,5,2022-09-02,378,Regular Customers
,KH3443,6038,9,2023-05-15,122,VIP Customers
,KH47413,5081,8,2023-08-12,33,VIP Customers
,KH39920,5160,8,2023-07-28,49,VIP Customers
,KH45933,5149,7,2023-02-04,223,VIP Customers
,KH8969,3152,2,2023-03-07,192,Regular Customers
,KH44809,2628,6,2022-08-29,382,Regular Customers
,KH6163,2550,5,2023-04-25,143,Regular Customers
,KH2919,6758,10,2023-01-01,256,VIP Customers
,KH33320,11133,10,2023-07-31,45,VIP Customers
,KH19284,5084,5,2023-06-19,87,Regular Customers
,KH38226,7841,6,2021-11-30,654,VIP Customers
,KH7547,9576,9,2023-03-02,197,VIP Customers
,KH18196,5440,6,2023-07-10,66,VIP Customers
,KH14162,5994,6,2023-02-03,223,VIP Customers
,KH8626,5860,8,2023-07-06,71,VIP Customers
,KH28501,3797,6,2023-07-28,49,Regular Customers
,KH29635,4715,4,2023-03-08,190,Regular Customers
,KH23422,6737,10,2023-06-18,89,VIP Customers
,KH46076,4628,8,2023-07-23,53,VIP Customers
,KH13989,4877,5,2022-10-07,343,Regular Customers
,KH32384,6255,8,2023-03-17,182,VIP Customers
,KH37881,2103,5,2023-06-01,105,Regular Customers
,KH27922,6273,6,2023-08-22,24,VIP Customers
,KH35410,4901,8,2022-12-18,271,VIP Customers
,KH14237,3931,9,2023-08-18,28,VIP Customers
,KH40321,2418,5,2023-07-25,52,Regular Customers
,KH35059,2917,5,2023-01-06,252,Regular Customers
,KH10461,3240,8,2023-08-16,30,VIP Customers
,KH24866,1807,5,2023-05-05,133,Regular Customers
,KH2864,3519,4,2023-04-22,146,Regular Customers
,KH48598,4037,7,2022-07-06,435,VIP Customers
